Round Number,Date,Location,Home Team,Away Team,Group,Result
1,12/9/2017 20:45,"Estádio da Luz, Lisbon",Benfica,CSKA Moscow,Group A,2-Jan
1,12/9/2017 20:45,"Old Trafford, Manchester",Manchester United,Basel,Group A,Mar-00
1,12/9/2017 20:45,"Allianz Arena, Munich",Bayern Munich,Anderlecht,Group B,Mar-00
1,12/9/2017 20:45,"Celtic Park, Glasgow",Celtic,Paris Saint-Germain,Group B,0 - 5
1,12/9/2017 20:45,"Stamford Bridge, London",Chelsea,Qarabag,Group C,Jun-00
1,12/9/2017 20:45,"Stadio Olimpico, Rome",Roma,Atlético Madrid,Group C,0 - 0
1,12/9/2017 20:45,"Camp Nou, Barcelona",Barcelona,Juventus,Group D,Mar-00
1,12/9/2017 20:45,"Karaiskakis Stadium, Piraeus",Olympiacos,Sporting CP,Group D,3-Feb
1,13/09/2017 20:45,"Ljudski vrt, Maribor",Maribor,Spartak Moscow,Group E,1-Jan
1,13/09/2017 20:45,"Anfield, Liverpool",Liverpool,Sevilla,Group E,2-Feb
1,13/09/2017 20:45,"De Kuip, Rotterdam",Feyenoord,Manchester City,Group F,0 - 4
1,13/09/2017 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Napoli,Group F,1-Feb
1,13/09/2017 20:45,"Red Bull Arena, Leipzig",RB Leipzig,Monaco,Group G,1-Jan
1,13/09/2017 20:45,"Estádio do Dragão, Porto",Porto,Besiktas,Group G,3-Jan
1,13/09/2017 20:45,"Santiago Bernabéu, Madrid",Real Madrid,APOEL,Group H,Mar-00
1,13/09/2017 20:45,"Wembley Stadium, London",Tottenham Hotspur,Borussia Dortmund,Group H,1-Mar
2,26/09/2017 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Maribor,Group E,Mar-00
2,26/09/2017 20:45,"Otkrytiye Arena, Moscow",Spartak Moscow,Liverpool,Group E,1-Jan
2,26/09/2017 20:45,"Stadio San Paolo, Naples",Napoli,Feyenoord,Group F,1-Mar
2,26/09/2017 20:45,"City of Manchester Stadium, Manchester",Manchester City,Shakhtar Donetsk,Group F,Feb-00
2,26/09/2017 20:45,"Vodafone Park, Istanbul",Besiktas,RB Leipzig,Group G,Feb-00
2,26/09/2017 20:45,"Stade Louis II, Monaco",Monaco,Porto,Group G,0 - 3
2,26/09/2017 20:45,"Westfalenstadion, Dortmund",Borussia Dortmund,Real Madrid,Group H,3-Jan
2,26/09/2017 20:45,"GSP Stadium, Nicosia",APOEL,Tottenham Hotspur,Group H,0 - 3
2,27/09/2017 18:00,"Tofiq Bahramov Republican Stadium, Baku",Qarabag,Roma,Group C,2-Jan
2,27/09/2017 20:45,"St. Jakob-Park, Basel",Basel,Benfica,Group A,May-00
2,27/09/2017 20:45,"VEB Arena, Moscow",CSKA Moscow,Manchester United,Group A,4-Jan
2,27/09/2017 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Bayern Munich,Group B,Mar-00
2,27/09/2017 20:45,"Constant Vanden Stock Stadium, Anderlecht",Anderlecht,Celtic,Group B,0 - 3
2,27/09/2017 20:45,"Wanda Metropolitano, Madrid",Atlético Madrid,Chelsea,Group C,2-Jan
2,27/09/2017 20:45,"Estádio José Alvalade, Lisbon",Sporting CP,Barcelona,Group D,0 - 1
2,27/09/2017 20:45,"Juventus Stadium, Turin",Juventus,Olympiacos,Group D,Feb-00
3,17/10/2017 20:45,"Otkrytiye Arena, Moscow",Spartak Moscow,Sevilla,Group E,1-May
3,17/10/2017 20:45,"Ljudski vrt, Maribor",Maribor,Liverpool,Group E,0 - 7
3,17/10/2017 20:45,"City of Manchester Stadium, Manchester",Manchester City,Napoli,Group F,1-Feb
3,17/10/2017 20:45,"De Kuip, Rotterdam",Feyenoord,Shakhtar Donetsk,Group F,2-Jan
3,17/10/2017 20:45,"Stade Louis II, Monaco",Monaco,Besiktas,Group G,2-Jan
3,17/10/2017 20:45,"Red Bull Arena, Leipzig",RB Leipzig,Porto,Group G,2-Mar
3,17/10/2017 20:45,"GSP Stadium, Nicosia",APOEL,Borussia Dortmund,Group H,1-Jan
3,17/10/2017 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Tottenham Hotspur,Group H,1-Jan
3,18/10/2017 18:00,"Tofiq Bahramov Republican Stadium, Baku",Qarabag,Atlético Madrid,Group C,0 - 0
3,18/10/2017 20:45,"VEB Arena, Moscow",CSKA Moscow,Basel,Group A,0 - 2
3,18/10/2017 20:45,"Estádio da Luz, Lisbon",Benfica,Manchester United,Group A,0 - 1
3,18/10/2017 20:45,"Constant Vanden Stock Stadium, Anderlecht",Anderlecht,Paris Saint-Germain,Group B,0 - 4
3,18/10/2017 20:45,"Allianz Arena, Munich",Bayern Munich,Celtic,Group B,Mar-00
3,18/10/2017 20:45,"Stamford Bridge, London",Chelsea,Roma,Group C,3-Mar
3,18/10/2017 20:45,"Juventus Stadium, Turin",Juventus,Sporting CP,Group D,1-Feb
3,18/10/2017 20:45,"Camp Nou, Barcelona",Barcelona,Olympiacos,Group D,1-Mar
4,31/10/2017 20:45,"St. Jakob-Park, Basel",Basel,CSKA Moscow,Group A,2-Jan
4,31/10/2017 20:45,"Old Trafford, Manchester",Manchester United,Benfica,Group A,Feb-00
4,31/10/2017 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Anderlecht,Group B,May-00
4,31/10/2017 20:45,"Celtic Park, Glasgow",Celtic,Bayern Munich,Group B,2-Jan
